SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES
HDFC,EQ,2418,2438.5,2409,2433.95,2435.75,2412.55,945874,2294533927,01-Jan-20,29500
HDFC,EQ,2430,2472.75,2422,2466.4,2469.9,2433.95,1701396,4169605313,02-Jan-20,74760
HDFC,EQ,2455,2466.4,2441.8,2454.45,2452.05,2466.4,1963923,4815298363,03-Jan-20,92333
HDFC,EQ,2428,2445,2371.4,2384.1,2389.95,2454.45,2656731,6365761041,06-Jan-20,100147
HDFC,EQ,2401.25,2428.8,2380.2,2415.05,2420,2384.1,3771992,9078864622,07-Jan-20,127128
HDFC,EQ,2387,2413,2385.5,2406.15,2400,2415.05,2147334,5152320291,08-Jan-20,154324
HDFC,EQ,2430,2462.7,2421.15,2457.4,2454,2406.15,3247323,7937400090,09-Jan-20,93253
HDFC,EQ,2465,2477.65,2440.3,2457.55,2460,2457.4,2082060,5116849568,10-Jan-20,101887
HDFC,EQ,2461.1,2471.05,2441,2462.55,2461.5,2457.55,3401754,8341254561,13-Jan-20,114337
HDFC,EQ,2463.65,2499.9,2446.6,2492.3,2488.3,2462.55,2549328,6313164444,14-Jan-20,94187
HDFC,EQ,2483.95,2495,2453.55,2488.6,2491.7,2492.3,2279961,5650678839,15-Jan-20,84002
HDFC,EQ,2486,2495.75,2471.8,2482.1,2481.45,2488.6,1794295,4455532994,16-Jan-20,93656
HDFC,EQ,2467.75,2479,2448.25,2453.95,2452.7,2482.1,2250437,5539209315,17-Jan-20,158586
HDFC,EQ,2474,2486.55,2440.4,2454.35,2454.3,2453.95,2274456,5592774717,20-Jan-20,71888
HDFC,EQ,2443,2485.9,2432,2465.45,2465,2454.35,2404025,5915603566,21-Jan-20,72342
HDFC,EQ,2474,2483.35,2412.2,2416.6,2418,2465.45,3356004,8177410519,22-Jan-20,81156
HDFC,EQ,2422,2436.4,2404.35,2428.4,2429,2416.6,1812646,4390290578,23-Jan-20,63207
HDFC,EQ,2423,2458.6,2411.4,2450.75,2449.15,2428.4,2178412,5317035467,24-Jan-20,80669
HDFC,EQ,2433,2445,2388.5,2395.8,2389.95,2450.75,2543177,6144072138,27-Jan-20,93233
HDFC,EQ,2413,2471.7,2410,2431.6,2433.4,2395.8,6698252,16370561187,28-Jan-20,282764
HDFC,EQ,2446,2447.5,2400,2404.25,2406.3,2431.6,2692713,6535014985,29-Jan-20,118940
HDFC,EQ,2413,2428.7,2386.9,2415,2411,2404.25,2807667,6773672532,30-Jan-20,162717
HDFC,EQ,2417,2434.75,2404.5,2414,2416.4,2415,2828509,6841949880,31-Jan-20,126462
HDFC,EQ,2250,2298.05,2228.2,2259.75,2265,2268.25,5220749,11837535197,03-Feb-20,243016
HDFC,EQ,2265.6,2351,2265.6,2345.95,2344.4,2259.75,3288687,7637738602,04-Feb-20,114074
HDFC,EQ,2345.55,2395.5,2326.2,2391.65,2390.5,2345.95,3244383,7680979375,05-Feb-20,136750
HDFC,EQ,2390,2447.8,2369.65,2436.45,2433,2391.65,3536393,8548207986,06-Feb-20,155820
HDFC,EQ,2428.1,2452.3,2398.35,2405.65,2405,2436.45,2193190,5307998216,07-Feb-20,98881
HDFC,EQ,2405,2425.3,2391.05,2414.3,2412.1,2405.65,2056525,4959076231,10-Feb-20,90906
HDFC,EQ,2424.45,2441.75,2420.2,2435.15,2436,2414.3,1732762,4214124062,11-Feb-20,93693
HDFC,EQ,2449.5,2487,2427.9,2437.6,2433,2435.15,4173099,10235994517,12-Feb-20,132455
HDFC,EQ,2426,2444.15,2399,2403.65,2404,2437.6,2280271,5502526882,13-Feb-20,121230
HDFC,EQ,2402,2425.85,2389.4,2401.75,2400.25,2403.65,2611510,6277832031,14-Feb-20,122829
HDFC,EQ,2401.75,2406.65,2345.15,2350.25,2349.9,2401.75,2398556,5672596635,17-Feb-20,113614
HDFC,EQ,2349,2349,2304,2318.8,2324.05,2350.25,2345063,5442220043,18-Feb-20,126995
HDFC,EQ,2343,2385,2330.05,2377.25,2379,2318.8,2088724,4924315570,19-Feb-20,91408
HDFC,EQ,2364,2377.5,2349.05,2369.5,2368.5,2377.25,3351611,7928804253,20-Feb-20,146323
HDFC,EQ,2355,2365.2,2280.1,2292.3,2303.85,2369.5,4238039,9796556094,24-Feb-20,195151
HDFC,EQ,2309,2320.75,2285,2302.6,2307,2292.3,3292922,7591505237,25-Feb-20,131292
HDFC,EQ,2278,2309.5,2253.55,2281.45,2276.5,2302.6,6163133,14077071477,26-Feb-20,176704
HDFC,EQ,2279.8,2289.6,2244.55,2272.2,2265.95,2281.45,3261885,7406620648,27-Feb-20,192211
HDFC,EQ,2228.55,2228.55,2162.3,2175.75,2186,2272.2,7715143,16911538107,28-Feb-20,263271
HDFC,EQ,2215,2248.35,2153.8,2179.65,2183.7,2175.75,3957634,8739351976,02-Mar-20,169811
HDFC,EQ,2201.7,2226.9,2173.3,2191.4,2194.95,2179.65,4229070,9287853685,03-Mar-20,164672
HDFC,EQ,2207,2216.6,2180.2,2206.05,2209.1,2191.4,4460096,9813578242,04-Mar-20,149261
HDFC,EQ,2206,2232.2,2183,2195.05,2189,2206.05,3916762,8640675109,05-Mar-20,166673
HDFC,EQ,2145,2145,2092.8,2109.45,2109.5,2195.05,5414446,11440293043,06-Mar-20,206756
HDFC,EQ,2067.3,2067.3,1981.2,2027.9,2025.5,2109.45,5051322,10239209033,09-Mar-20,202229
HDFC,EQ,1970,2073.85,1970,2036.25,2040.35,2027.9,6997019,14267473437,11-Mar-20,235413
HDFC,EQ,1990,1990,1861.1,1875.7,1874.5,2036.25,8837533,16981957677,12-Mar-20,295321
HDFC,EQ,1780.05,2123.7,1688.15,2066.8,2072.65,1875.7,14173637,27887643750,13-Mar-20,335277
HDFC,EQ,1964,1979.5,1825,1841.75,1858,2066.8,10672843,20258137719,16-Mar-20,338858
HDFC,EQ,1858.05,1869.9,1740,1755.8,1755.85,1841.75,6682574,12064165340,17-Mar-20,257685
HDFC,EQ,1771,1784.7,1602.4,1622.55,1633.25,1755.8,9070671,15347878606,18-Mar-20,318627
HDFC,EQ,1502.1,1703.95,1490.1,1617.6,1620,1622.55,11254232,17804402635,19-Mar-20,382998
HDFC,EQ,1624,1776.9,1535.2,1753.95,1776.9,1617.6,11377225,18966004675,20-Mar-20,313895
HDFC,EQ,1578.6,1673.25,1500,1520.7,1520.7,1753.95,9474584,15045929137,23-Mar-20,289498
HDFC,EQ,1554,1649.7,1473.45,1505.1,1504.35,1520.7,8900025,13843781637,24-Mar-20,360837
