Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
05-Dec-00,8.69,8.9,8.6,8.87,44.04718468,74876,413,3298077,,,1.5,0.9
06-Dec-00,8.98,9.02,8.8,8.95,44.66768854,61325,366,2739246,,,1.1,-0.15
07-Dec-00,8.92,9.08,8.92,8.94,45.00553577,25832,214,1162583,,,0.8,0.1
08-Dec-00,9.05,9.3,8.93,9.1,45.55356482,67535,294,3076460,,,1.85,0.25
11-Dec-00,9.22,9.82,9.22,9.82,48.96805624,131575,326,6442972,,,3,3
12-Dec-00,10.01,10.39,9.44,9.48,49.12520028,182867,956,8983378,,,4.75,-2.65
13-Dec-00,9.63,9.7,9.43,9.47,47.91896882,83943,577,4022462,,,1.35,-0.8
14-Dec-00,9.65,9.8,9.2,9.22,47.51518339,64643,376,3071524,,,3,-2.15
15-Dec-00,9.1,9.26,8.82,8.93,44.92486418,141730,1018,6367201,,,2.2,-0.85
18-Dec-00,9.27,9.27,8.86,9.17,45.08277762,34490,269,1554905,,,2.05,-0.5
19-Dec-00,9.24,9.24,8.93,9.01,45.22640007,43962,267,1988243,,,1.55,-1.15
20-Dec-00,9,9.15,8.95,9.08,45.18567214,23730,215,1072256,,,1,0.4
21-Dec-00,9.06,9.06,8.83,9.01,44.91948264,36725,221,1649668,,,1.15,-0.25
22-Dec-00,8.88,9.18,8.88,9.08,44.88870899,74732,334,3354623,,,1.5,1
26-Dec-00,9.05,9.05,8.71,8.82,44.42390456,69150,357,3071913,,,1.7,-1.15
27-Dec-00,8.85,9.06,8.85,9,44.7873233,21930,160,982186,,,1.05,0.75
28-Dec-00,9.13,9.13,8.97,8.99,45.24898102,17174,163,777106,,,0.8,-0.7
29-Dec-00,8.98,9.1,8.96,9.06,45.13069598,33291,200,1502446,,,0.7,0.4
01-Jan-01,9.7,9.7,9.1,9.15,45.83011365,33699,201,1544429,,,3,-2.75
02-Jan-01,9.1,9.2,9.07,9.2,45.69577206,31552,207,1441793,,,0.65,0.5
03-Jan-01,9.14,9.45,9.13,9.4,46.48072162,98556,405,4580954,,,1.6,1.3
04-Jan-01,9.54,9.6,9.26,9.31,47.01084886,41479,308,1949963,,,1.7,-1.15
05-Jan-01,9.27,9.34,9.2,9.26,46.24733988,34115,224,1577728,,,0.7,-0.05
08-Jan-01,9.43,9.45,9.13,9.33,46.53025842,27513,262,1280187,,,1.6,-0.5
09-Jan-01,9.34,9.36,9.2,9.21,46.3505772,13860,102,642419,,,0.8,-0.65
10-Jan-01,9.33,9.39,9.17,9.22,46.32062939,21227,156,983248,,,1.1,-0.55
11-Jan-01,9.2,9.33,9.12,9.22,46.21296206,20506,228,947643,,,1.05,0.1
12-Jan-01,9.23,9.37,9.11,9.23,46.24641606,42830,345,1980734,,,1.3,0
15-Jan-01,9.15,9.3,9.02,9.2,46.13146859,25991,217,1199003,,,1.4,0.25
16-Jan-01,9.14,9.28,9.13,9.25,46.13837323,16376,148,755562,,,0.75,0.55
17-Jan-01,9.38,9.83,9.38,9.52,47.86445168,49451,354,2366945,,,2.25,0.7
18-Jan-01,9.69,9.78,9.45,9.48,48.22109559,40435,299,1949820,,,1.65,-1.05
19-Jan-01,9.6,9.7,9.32,9.57,47.79693356,41090,286,1963976,,,1.9,-0.15
22-Jan-01,10.3,10.3,9.62,9.76,48.93608147,172141,606,8423906,,,3.4,-2.7
23-Jan-01,9.8,10.05,9.45,9.7,48.7913128,154365,810,7531671,,,3,-0.5
24-Jan-01,9.84,10.18,9.76,9.97,49.88287658,257250,940,12832370,,,2.1,0.65
25-Jan-01,10,10.76,10,10.76,53.5869462,124209,295,6655981,,,3.8,3.8
29-Jan-01,9.97,10.52,9.9,9.9,50.68708915,219056,974,11103311,,,3.1,-0.35
30-Jan-01,9.3,9.49,9.11,9.11,45.87691175,158886,622,7289199,,,1.9,-0.95
31-Jan-01,8.63,9.24,8.62,8.67,45.21477658,245050,848,11079881,,,3.1,0.2
01-Feb-01,8.6,8.97,8.6,8.7,43.9427332,59703,429,2623513,,,1.85,0.5
02-Feb-01,8.66,8.86,8.56,8.6,43.45584987,153465,809,6668952,,,1.5,-0.3
05-Feb-01,9,9,8.24,8.27,42.52756655,102969,639,4379021,,,3.8,-3.65
06-Feb-01,8.4,8.58,8.3,8.3,41.94342913,82569,527,3463227,,,1.4,-0.5
07-Feb-01,8.4,8.45,8.25,8.26,41.69728074,44718,280,1864619,,,1,-0.7
