Date,Open Price,High,Low,Close Price,Total Traded Quantity
05-Dec-00,8.69,8.9,8.6,8.87,74876
06-Dec-00,8.98,9.02,8.8,8.95,61325
07-Dec-00,8.92,9.08,8.92,8.94,25832
08-Dec-00,9.05,9.3,8.93,9.1,67535
11-Dec-00,9.22,9.82,9.22,9.82,131575
12-Dec-00,10.01,10.39,9.44,9.48,182867
13-Dec-00,9.63,9.7,9.43,9.47,83943
14-Dec-00,9.65,9.8,9.2,9.22,64643
15-Dec-00,9.1,9.26,8.82,8.93,141730
18-Dec-00,9.27,9.27,8.86,9.17,34490
19-Dec-00,9.24,9.24,8.93,9.01,43962
20-Dec-00,9.0,9.15,8.95,9.08,23730
21-Dec-00,9.06,9.06,8.83,9.01,36725
22-Dec-00,8.88,9.18,8.88,9.08,74732
26-Dec-00,9.05,9.05,8.71,8.82,69150
27-Dec-00,8.85,9.06,8.85,9.0,21930
28-Dec-00,9.13,9.13,8.97,8.99,17174
29-Dec-00,8.98,9.1,8.96,9.06,33291
01-Jan-01,9.7,9.7,9.1,9.15,33699
02-Jan-01,9.1,9.2,9.07,9.2,31552
03-Jan-01,9.14,9.45,9.13,9.4,98556
04-Jan-01,9.54,9.6,9.26,9.31,41479
05-Jan-01,9.27,9.34,9.2,9.26,34115
08-Jan-01,9.43,9.45,9.13,9.33,27513
09-Jan-01,9.34,9.36,9.2,9.21,13860
10-Jan-01,9.33,9.39,9.17,9.22,21227
11-Jan-01,9.2,9.33,9.12,9.22,20506
12-Jan-01,9.23,9.37,9.11,9.23,42830
15-Jan-01,9.15,9.3,9.02,9.2,25991
16-Jan-01,9.14,9.28,9.13,9.25,16376
17-Jan-01,9.38,9.83,9.38,9.52,49451
18-Jan-01,9.69,9.78,9.45,9.48,40435
19-Jan-01,9.6,9.7,9.32,9.57,41090
22-Jan-01,10.3,10.3,9.62,9.76,172141
23-Jan-01,9.8,10.05,9.45,9.7,154365
24-Jan-01,9.84,10.18,9.76,9.97,257250
25-Jan-01,10.0,10.76,10.0,10.76,124209
29-Jan-01,9.97,10.52,9.9,9.9,219056
30-Jan-01,9.3,9.49,9.11,9.11,158886
31-Jan-01,8.63,9.24,8.62,8.67,245050
01-Feb-01,8.6,8.97,8.6,8.7,59703
02-Feb-01,8.66,8.86,8.56,8.6,153465
05-Feb-01,9.0,9.0,8.24,8.27,102969
06-Feb-01,8.4,8.58,8.3,8.3,82569
07-Feb-01,8.4,8.45,8.25,8.26,44718
08-Feb-01,8.23,8.84,8.15,8.61,113616
09-Feb-01,8.42,8.87,8.42,8.58,142804
12-Feb-01,8.97,8.98,8.45,8.62,187179
13-Feb-01,8.73,8.74,8.32,8.34,112693
14-Feb-01,8.31,8.45,8.3,8.31,46092
15-Feb-01,8.32,8.4,8.2,8.2,39901
16-Feb-01,8.12,8.27,7.82,7.87,145416
19-Feb-01,8.2,8.28,7.81,7.89,80234
20-Feb-01,8.0,8.0,7.65,7.7,72866
21-Feb-01,7.78,8.18,7.71,7.94,76510
22-Feb-01,7.81,7.96,7.6,7.73,38875
23-Feb-01,7.61,7.65,7.3,7.42,72073
26-Feb-01,7.8,8.01,7.56,7.57,93589
27-Feb-01,7.6,7.67,6.97,7.14,105296
28-Feb-01,7.28,7.59,7.1,7.44,113336
01-Mar-01,7.45,7.94,7.34,7.4,113190
