Date,Price,Open,High,Low,Volume,Change(%)
16 Aug 2023,982.1,984.8,987.05,970.55,327673,-0.38%
14 Aug 2023,985.8,995.8,995.8,976,465280,-2.50%
11 Aug 2023,1011.1,1032,1032,1008.1,656045,-1.53%
10 Aug 2023,1026.85,1060,1064.55,1021.05,698420,-3.54%
09 Aug 2023,1064.55,1071.2,1071.9,1057.6,338087,-0.69%
08 Aug 2023,1071.9,1066.05,1078,1050.2,445577,0.76%
07 Aug 2023,1063.85,1070,1093.75,1059,835927,0.72%
04 Aug 2023,1056.25,1140,1140,1053.85,2474513,-5.75%
03 Aug 2023,1120.7,1095,1126,1082.45,892712,2.09%
02 Aug 2023,1097.75,1120.95,1144,1081.55,979508,-2.07%
01 Aug 2023,1120.95,1118.3,1130.35,1104.1,370405,0.24%
31 Jul 2023,1118.3,1116.5,1137,1107.5,453504,0.56%
28 Jul 2023,1112.05,1124.75,1124.75,1086.7,720289,2.03%
27 Jul 2023,1089.9,1086.6,1105,1081.05,534497,0.30%
26 Jul 2023,1086.6,1091.95,1096.35,1079.4,237808,-0.25%
25 Jul 2023,1089.3,1048.8,1092,1043.25,541892,3.86%
24 Jul 2023,1048.8,1075,1077.6,1043.95,264500,-1.54%
21 Jul 2023,1065.25,1061.95,1071.65,1058,155979,-0.07%
20 Jul 2023,1065.95,1065,1074.3,1062.65,123880,0.14%
19 Jul 2023,1064.45,1061.9,1071.2,1058,249800,0.39%
18 Jul 2023,1060.35,1075.7,1087.4,1057.2,432302,-1.37%
17 Jul 2023,1075.05,1081.05,1096.8,1072,166664,-0.64%
14 Jul 2023,1082,1084.65,1087.7,1073.55,252300,-0.24%
13 Jul 2023,1084.65,1124,1124.3,1082,412765,-2.60%
12 Jul 2023,1113.55,1112,1134,1105.4,1053186,0.14%
11 Jul 2023,1112,1105,1115,1098.05,223484,1.09%
10 Jul 2023,1100,1111.75,1116.6,1090.05,270923,-1.05%
07 Jul 2023,1111.65,1106.95,1124.35,1105.25,596658,0.68%
06 Jul 2023,1104.1,1080,1110.75,1076.85,649853,2.23%
05 Jul 2023,1080,1072.5,1087.6,1069.95,311617,0.74%
04 Jul 2023,1072.1,1086.9,1086.9,1067.95,248802,-0.82%
03 Jul 2023,1080.95,1054,1087.35,1049.5,782193,3.09%
30 Jun 2023,1048.5,1035.1,1056,1035.1,311696,1.34%
28 Jun 2023,1034.6,1044,1052.4,1028.2,397465,-1.06%
27 Jun 2023,1045.65,1034.7,1062.35,1032.05,1228102,1.59%
26 Jun 2023,1029.3,1011,1034.9,1010,223902,1.25%
23 Jun 2023,1016.55,1037,1040,1013.5,371563,-2.03%
22 Jun 2023,1037.65,1038,1069,1035,679027,-0.15%
21 Jun 2023,1039.25,1034.7,1044,1026.25,196494,0.46%
20 Jun 2023,1034.5,1029.1,1037.55,1026,143724,0.33%
19 Jun 2023,1031.05,1045.2,1051.05,1023.4,231777,-1.35%
16 Jun 2023,1045.2,1041.95,1049.8,1036,147485,0.43%
15 Jun 2023,1040.75,1053.45,1056.6,1038,200886,-0.67%
14 Jun 2023,1047.75,1032.5,1050.35,1029.05,335413,1.94%
13 Jun 2023,1027.8,1026.65,1034.3,1021,222508,0.69%
12 Jun 2023,1020.8,1032,1032,1015.1,164612,-0.43%
09 Jun 2023,1025.25,1032,1037.85,1020.05,107117,-0.44%
08 Jun 2023,1029.8,1036.6,1042.4,1024.1,246243,-0.02%
07 Jun 2023,1030.05,1033,1035,1026,122165,0.23%
06 Jun 2023,1027.65,1030.1,1033,1020.9,157556,-0.12%
05 Jun 2023,1028.9,1040,1046.95,1025.7,239476,-0.86%
02 Jun 2023,1037.8,1069,1076,1030.1,568042,-2.92%
01 Jun 2023,1069,1057.8,1079.9,1055.65,602650,1.06%
31 May 2023,1057.8,1053.8,1064.65,1048.8,281106,0.37%
30 May 2023,1053.85,1045.2,1061.35,1042.2,370934,0.83%
29 May 2023,1045.2,1044.45,1053.45,1039,158058,0.96%
26 May 2023,1035.3,1033.45,1047.2,1030.1,204505,0.22%
25 May 2023,1033.05,1030,1038,1024.75,148456,0.04%
24 May 2023,1032.65,1021.6,1039.5,1021.6,223369,0.27%
23 May 2023,1029.9,1029.1,1034.6,1024.1,214061,0.14%
22 May 2023,1028.5,1027.95,1034.25,1020.95,206181,-0.07%
19 May 2023,1029.2,1047.05,1047.85,1025.25,283282,-1.22%
18 May 2023,1041.95,1062.9,1071.5,1039.05,350910,-1.47%
17 May 2023,1057.45,1054.8,1065,1045.45,225405,0.29%
16 May 2023,1054.35,1053,1074.1,1050.4,425446,0.12%
15 May 2023,1053.05,1048.65,1057,1031.65,595994,0.45%
12 May 2023,1048.35,1050.6,1076.95,1045.85,1238264,-2.79%
11 May 2023,1078.4,1100,1100,1073.9,593770,-1.91%
10 May 2023,1099.45,1081.75,1103,1055.4,2080139,2.38%
09 May 2023,1073.9,1045,1097.7,1028.95,6826366,7.43%
08 May 2023,999.6,981.1,1002.85,979,250592,2.04%
05 May 2023,979.6,985.05,989.25,976,142636,-0.44%
04 May 2023,983.95,1006.85,1006.85,979,471094,-1.77%
03 May 2023,1001.65,1007.35,1014.85,998.3,227927,-0.21%
02 May 2023,1003.8,1009.75,1018,999.05,260828,-0.48%
28 Apr 2023,1008.65,1008.95,1015,1000,333791,0.22%
27 Apr 2023,1006.45,1013,1020,1002.3,362450,-0.72%
26 Apr 2023,1013.8,1015,1018.6,1001,276178,0.33%
25 Apr 2023,1010.5,1017.6,1022.1,1006.55,344682,-0.70%
24 Apr 2023,1017.6,1003.8,1021.9,998.85,373504,1.37%
21 Apr 2023,1003.8,1014,1016.15,1001,149268,-0.48%
20 Apr 2023,1008.65,1016.5,1024.85,1007,338596,-0.25%
19 Apr 2023,1011.15,1020,1024,1008,404164,-0.67%
18 Apr 2023,1018,1007.8,1035,1004.4,1038085,0.41%
17 Apr 2023,1013.85,982,1015,982,655253,2.29%
13 Apr 2023,991.15,998,1004.7,988.85,390121,-0.61%
12 Apr 2023,997.25,997.3,1015.8,990.6,889973,0.56%
11 Apr 2023,991.65,995,1002.9,984.65,659780,-0.07%
10 Apr 2023,992.3,1000.45,1024.5,973.15,1561798,0.94%
06 Apr 2023,983.1,968,986,954.5,892334,2.66%
05 Apr 2023,957.6,929.15,960.5,920.15,1387525,3.98%
03 Apr 2023,920.95,995.8,995.8,909,2190452,-6.36%
31 Mar 2023,983.45,991.95,991.95,974.55,422523,-0.14%
29 Mar 2023,984.8,981.05,990.55,976.65,340000,0.50%
28 Mar 2023,979.9,964,981.8,959.5,679477,2.46%
27 Mar 2023,956.35,955.2,964.1,945.4,312851,-0.42%
24 Mar 2023,960.35,975,979.7,957.3,312601,-1.35%
23 Mar 2023,973.45,975,987.85,970.8,309006,-0.61%
22 Mar 2023,979.4,982,988.95,975.55,282340,-0.81%
21 Mar 2023,987.35,981,999.45,979.95,794142,1.79%
20 Mar 2023,970,978.05,988.7,963.65,353969,-1.46%
17 Mar 2023,984.4,989.15,997.75,977.85,294567,-0.27%
16 Mar 2023,987.1,966.5,992,966.5,484625,1.31%
15 Mar 2023,974.3,981,986.9,966.05,608864,-0.74%
14 Mar 2023,981.6,992.75,1002.2,979.15,761322,-0.88%
13 Mar 2023,990.35,986.35,1006.65,984.3,1303984,0.41%
10 Mar 2023,986.35,989.95,996,977,669134,-1.07%
09 Mar 2023,997,986,1006.25,984.15,1106501,0.98%
08 Mar 2023,987.3,987.4,995.5,976.2,1515835,0.14%
06 Mar 2023,985.95,920,989.5,917.25,4955639,8.72%
03 Mar 2023,906.9,908.6,917,899.15,597836,0.88%
02 Mar 2023,898.95,904,908.45,896.15,236381,-0.55%
01 Mar 2023,903.95,900,905,891.05,244561,0.90%
28 Feb 2023,895.85,874.2,897.7,872.4,324340,2.54%
27 Feb 2023,873.65,876,882,867.25,111090,-0.79%
24 Feb 2023,880.65,876.2,883,867.25,207432,0.60%
23 Feb 2023,875.4,887,887,864.7,254430,-0.87%
22 Feb 2023,883.1,893.9,896.6,879.3,230051,-1.30%
21 Feb 2023,894.75,895.55,904.35,891.25,233927,0.57%
20 Feb 2023,889.65,887,896,883.7,337022,0.31%
17 Feb 2023,886.9,920,925.5,885,693181,-3.69%
16 Feb 2023,920.85,908.8,931.7,901.5,747796,1.83%
15 Feb 2023,904.3,889,907.45,889,429652,1.69%
14 Feb 2023,889.3,882.1,894.95,868,455736,-0.29%
13 Feb 2023,891.85,902.5,903.4,881.55,375839,-1.05%
10 Feb 2023,901.35,895.3,903,885.05,193924,0.90%
09 Feb 2023,893.3,906,908.7,887.2,282498,-1.08%
08 Feb 2023,903.05,882.1,906,872.85,276965,2.19%
07 Feb 2023,883.7,882,888.8,870,310724,0.19%
06 Feb 2023,882,851.6,885,851,551834,3.72%
03 Feb 2023,850.35,862,868.9,830.5,643454,-0.18%
02 Feb 2023,851.85,876,877.95,843,344772,-3.28%
