Symbol,High,Low,Open Price,Close Price,Average Trading Price,Total Traded Quantity,52 Week Low,52 Week High,SMA,EWMA5,MiddleBand,UpperBand,LowerBand,RSI,MFI,ForceIndex,ATR,EMV
RELIANCE,2537.7,2326.0,2377.0,2498.15,2442.45,171000961,2180.0,2856.15,,,,,,,,,,
RELIANCE,2755.0,2492.25,2606.75,2536.9,2619.26,161655662,2180.0,2856.15,,,,,,,,6264156902.5,237.2249999999999,
RELIANCE,2755.0,2434.6,2589.0,2467.6,2604.6,177567716,2180.0,2856.15,,,,,,21.849450239639083,,-12305442718.800032,291.57500000000005,12984.685332607522
RELIANCE,2748.0,2427.0,2730.0,2442.65,2556.57,167925311,2180.0,2856.15,,2473.79,,,,13.981598412412069,,-4189736509.4499693,320.70000000000005,-3298.28653957053
RELIANCE,2660.0,2311.65,2646.0,2337.35,2508.8,174583542,2180.0,2856.15,2456.5299999999997,2421.412559241706,2456.5299999999997,2607.2304744518074,2305.829525548192,3.461212094144969,,-18383646972.600033,334.67499999999995,-10841.42799359907
RELIANCE,2633.0,2293.0,2581.0,2305.9,2443.22,206834650,2180.0,2856.15,2418.0800000000004,2379.2027067669173,2418.0800000000004,2608.5420513383174,2227.6179486616834,2.3879217377907906,,-6504949742.499963,344.17499999999995,-12019.722543237944
RELIANCE,2606.0,2293.0,2514.75,2378.1,2417.23,219924929,2180.0,2856.15,2386.3199999999997,2378.812287518213,2386.3199999999997,2523.1136877198633,2249.526312280136,59.726936425002826,,15878579873.79996,326.5,-2836.6841746821283
RELIANCE,2606.0,2293.0,2550.0,2434.1,2411.27,243596685,2180.0,2856.15,2379.62,2397.9898017446476,2379.62,2498.6349276351475,2260.6050723648523,78.92818421875313,,13641414360.0,313.0,-960.6687198248453
RELIANCE,2606.0,2293.0,2545.3,2322.55,2396.24,253416182,2180.0,2856.15,2355.6,2372.171610766262,2355.6,2458.3811023486287,2252.818897651371,27.221841155648775,,-28268575102.09993,313.0,0.0
RELIANCE,2491.1,2293.0,2472.7,2408.7,2378.5,242854112,2180.0,2856.15,2369.87,2384.5626195605346,2369.87,2479.5620142945663,2260.1779857054335,63.82572842158312,,20921881748.79991,255.54999999999995,-2343.1443895007956
RELIANCE,2466.2,2269.05,2449.0,2275.95,2363.39,247218751,2180.0,2856.15,2363.88,2347.9349599369502,2363.88,2492.6501168749933,2235.109883125007,25.029568150730654,,-32818289195.25,197.62499999999977,-3317.0569124226568
RELIANCE,2463.8,2180.0,2331.7,2269.7,2335.57,270003926,2180.0,2856.15,2342.2,2321.6540841384676,2342.2,2493.5251301007174,2190.874869899282,23.67453504311311,,-1687524537.5,240.4749999999999,-3376.980358313259
RELIANCE,2463.8,2180.0,2315.0,2248.0,2324.42,253391050,2180.0,2856.15,2304.98,2296.9759206522035,2304.98,2433.045151387873,2176.914848612127,17.206213837429146,,-5498585784.999954,283.8000000000002,-2403.0678353913977
RELIANCE,2463.8,2180.0,2449.45,2341.45,2312.74,234327149,2180.0,2856.15,2308.7599999999998,2311.85157011781,2308.7599999999998,2440.481664884706,2177.0383351152936,75.30905619090969,28.71779400943707,21897872074.049957,283.8000000000002,0.0
RELIANCE,2424.6,2180.0,2378.0,2355.5,2301.7,230549403,2180.0,2856.15,2298.12,2326.4343488282702,2298.12,2392.8890508552167,2203.350949144783,79.61147314873017,28.27092747444827,3239219112.150042,264.20000000000005,-1039.725095275995
RELIANCE,2424.95,2180.0,2337.0,2349.0,2300.77,226503119,2180.0,2856.15,2312.7299999999996,2333.96770162107,2312.7299999999996,2412.785874390257,2212.674125609742,68.55797342027023,22.29015241881828,-1472270273.5,244.77499999999986,-1030.2624772358581
RELIANCE,2424.95,2180.0,2416.0,2420.5,2301.15,229083164,2180.0,2856.15,2342.8900000000003,2362.841106409315,2342.8900000000003,2466.283038701539,2219.4969612984614,92.24524321856299,29.108738374844066,16379446226.0,244.94999999999982,9.46261804013682
RELIANCE,2461.35,2180.0,2215.0,2441.75,2322.16,185218174,2180.0,2856.15,2381.6400000000003,2389.161880614636,2381.6400000000003,2473.7660929378862,2289.5139070621144,94.64377766742368,34.81607825540972,3935886197.5,263.14999999999986,1382.307656267056
RELIANCE,2509.5,2200.2,2217.5,2484.35,2359.93,168388936,2180.0,2856.15,2410.22,2420.9055731002395,2410.22,2525.7069819503495,2294.73301804965,97.6089413387207,40.2386282962558,7173368673.599985,295.32500000000005,4520.972152609002
