Symbol,High,Low,Open Price,Close Price,Average Trading Price,Total Traded Quantity,52 Week Low,52 Week High
TITAN,2910.0,2559.25,2603.05,2906.95,2727.8,31523699,1825.05,2791.0
TITAN,1621.35,1267.0,1301.95,1542.35,1423.23,98999526,720.9,1341.05
TITAN,1621.35,1300.35,1331.0,1489.95,1467.88,86624727,720.9,1375.0
TITAN,1621.35,1343.5,1347.95,1517.3,1495.92,81710964,720.9,1392.05
TITAN,1621.35,1415.55,1430.0,1450.1,1507.99,76317476,720.9,1440.55
TITAN,1621.35,1415.25,1514.2,1509.45,1513.96,70924522,720.9,1528.55
TITAN,1621.35,1415.25,1503.3,1494.2,1521.63,76953152,720.9,1547.65
TITAN,1621.35,1412.8,1566.0,1425.55,1509.67,81762401,720.9,1573.0
TITAN,1588.0,1396.0,1560.0,1406.9,1491.88,79044104,720.9,1621.35
TITAN,1588.0,1396.0,1467.0,1474.2,1485.79,75260512,720.9,1621.35
TITAN,1588.0,1396.0,1505.05,1482.5,1481.54,71809314,720.9,1621.35
TITAN,1588.0,1396.0,1437.8,1465.45,1484.88,73369658,720.9,1621.35
TITAN,1588.0,1396.0,1514.0,1505.85,1482.2,72522761,720.9,1621.35
TITAN,1593.3,1396.0,1492.15,1514.1,1479.32,64549193,720.9,1621.35
TITAN,1618.0,1400.15,1415.0,1530.6,1497.79,61626222,720.9,1621.35
TITAN,1618.0,1432.05,1469.0,1522.9,1512.44,58010642,720.9,1621.35
TITAN,1618.0,1432.05,1470.0,1508.85,1514.38,57783071,720.9,1621.35
TITAN,1618.0,1400.05,1485.6,1446.5,1501.13,64316547,720.9,1621.35
TITAN,1618.0,1400.05,1484.1,1455.85,1499.49,61116319,720.9,1621.35
TITAN,1618.0,1400.05,1560.0,1538.35,1499.97,63675966,810.0,1621.35
TITAN,1618.0,1400.05,1529.25,1577.0,1509.3,68298383,810.0,1621.35
TITAN,1713.85,1400.05,1525.0,1685.1,1532.8,72200618,810.0,1621.35
TITAN,1745.85,1400.05,1470.0,1734.8,1556.13,72839652,810.0,1621.35
TITAN,1748.95,1400.05,1477.0,1742.85,1576.31,69492221,810.0,1621.35
TITAN,1792.95,1425.85,1454.4,1728.05,1624.47,65558978,810.0,1621.35
TITAN,1792.95,1476.25,1480.0,1727.25,1660.99,64850307,810.0,1621.35
TITAN,1792.95,1535.0,1536.0,1710.35,1687.07,59433962,855.15,1621.35
TITAN,1792.95,1564.2,1608.0,1671.4,1710.34,51201620,898.5,1621.35
TITAN,1792.95,1662.5,1686.0,1723.55,1730.42,43010701,901.0,1726.0
TITAN,1858.65,1662.5,1700.1,1787.75,1753.88,48125562,933.65,1748.95
TITAN,1858.65,1662.5,1785.0,1837.9,1761.67,45683619,935.0,1792.95
TITAN,1892.3,1662.5,1755.0,1876.8,1774.01,44835233,935.0,1792.95
TITAN,1895.0,1662.5,1724.0,1822.55,1786.18,44082149,941.8,1792.95
TITAN,2039.9,1662.5,1694.35,2033.9,1823.86,47819462,986.0,1792.95
TITAN,2067.0,1700.0,1700.9,2055.7,1848.74,47093783,1028.55,1792.95
TITAN,2150.0,1725.0,1728.0,2085.85,1900.12,46522316,1043.0,1792.95
